"","Conflict_Name","Conflict_Type","Region","Start_Year","End_Year","Status","Primary_Country","Pre_War_Unemployment_%","During_War_Unemployment_%","Unemployment_Spike_Percentage_Points","Most_Affected_Sector","Youth_Unemployment_Change_%","Pre_War_Poverty_Rate_%","During_War_Poverty_Rate_%","Extreme_Poverty_Rate_%","Food_Insecurity_Rate_%","Households_Fallen_Into_Poverty_Estimate","GDP_Change_%","Inflation_Rate_%","Currency_Devaluation_%","Cost_of_War_USD","Estimated_Reconstruction_Cost_USD","Informal_Economy_Size_Pre_War_%","Informal_Economy_Size_During_War_%","Black_Market_Activity_Level","Primary_Black_Market_Goods","Currency_Black_Market_Rate_Gap_%","War_Profiteering_Documented"
"1","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",4.17,8.17,4,"Services",4.53,17.23,20.26,8.35,16.68,41904,-48.64,131.77,215.67,124625782778,226307108947,22.29,49.75,"Dominant","fuel, currency, medicine",3.76,"No"
"2","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",10.38,11.67,1.3,"Services",1.72,14.06,15.54,9.57,9.1,4441,-5.98,79.62,55.29,1011139702,3576371393,19.55,37.72,"Moderate","water, currency, weapons",17.7,"Yes"
"3","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",13.02,24.55,11.53,"Construction",15.52,7.93,16.81,9.98,12.59,1582,-41.14,88.43,125.34,186992982546,299471702722,16.97,47.53,"High","water",16.36,"Yes"
"4","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",13.94,53.85,39.91,"Energy",52.71,16.92,46.72,20.98,26.48,11119,-77.91,28.18,15.37,208880277972,422830863787,26.06,67.34,"Moderate","medicine, water",21.4,"No"
"5","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",11.72,34.22,22.49,"Agriculture",28.43,24.85,36.56,19.22,27.87,12680,-22.62,60.26,109.25,411046685740,1262777413483,14.52,28.92,"High","food, weapons",18.11,"No"
"6","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",8.14,11.75,3.61,"Energy",5.35,16.93,20.45,9.47,12.02,25990,-41.74,67.91,70.67,245041046027,536016801110,15.85,32.94,"Moderate","fuel, currency, medicine",11.79,"Yes"
"7","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",10.58,50.77,40.19,"Manufacturing",46.32,22.9,68.56,25.5,40.8,20929,-81.77,63.27,65.73,296882474866,566692142280,21.73,64,"High","food, weapons",129.07,"Yes"
"8","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",14.44,39.07,24.63,"Services",29.66,20.41,48.64,16.46,34.11,13103,-25.53,94.12,100.8,32768003287,54545433310,11.28,21.85,"Low","water",14.37,"No"
"9","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",5.96,17.52,11.56,"Energy",16.41,24.79,35.71,20.59,30.72,131858,-10.69,44.97,49.75,468204153524,1764764780856,25.93,44.3,"High","currency, food",7.32,"Yes"
"10","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",12.6,21.28,8.67,"Energy",12.1,5.12,14.87,6.57,8.34,120955,-39.64,62.27,56.42,455585780848,1657456467843,14.44,37.85,"Low","fuel, food, weapons",5.04,"No"
"11","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",10.87,30.69,19.82,"Construction",26.95,20.04,32.55,14.46,21.43,49205,-7.11,71.85,66.7,477507640447,1526282743287,39,90,"Low","medicine, weapons, currency",18.12,"Yes"
"12","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",10.8,22.7,11.9,"Tourism",16.72,10.56,19.17,8.87,11.32,52761,-36.74,178.53,295.8,404275332769,1137317659107,35.01,83.22,"Moderate","fuel",54.37,"Yes"
"13","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",3.24,4.58,1.33,"Services",1.98,14.15,15.49,9.71,9.69,1104,-37.58,71.25,64.24,25970100675,41158443966,34.99,58.47,"Low","medicine",447.72,"Yes"
"14","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",14.3,33.05,18.75,"Tourism",23.19,25.64,45.7,18.22,25.18,244760,-43.87,70.75,120.6,299973114132,1122774803305,34.45,69.24,"Moderate","weapons, fuel, water",16.16,"Yes"
"15","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",13.01,42.08,29.07,"Agriculture",41.74,20.85,44.05,24.39,29.88,5063747,-40,67.96,116.23,419789984140,1533376919360,38.6,58.34,"High","weapons",223.79,"Yes"
"16","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Ukraine",13.17,16.37,3.2,"Construction",4.39,25.71,29.05,9.71,18.88,4044,-11.55,10.26,7.94,61282645927,92908636915,38.23,90,"High","medicine",151.33,"Yes"
"17","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",6.71,19.07,12.36,"Tourism",14.05,10.98,22.48,10.23,14.27,2764,-30.42,106.21,128.93,364396329459,888314152571,29.66,87.61,"Moderate","medicine, weapons, fuel",105.47,"No"
"18","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",13.44,35.89,22.46,"Energy",32.06,21.81,37.24,18.33,20.43,24729,-23.94,108.17,161.44,173280444397,558126421861,27.25,63.65,"Low","water, currency, fuel",65.41,"Yes"
"19","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",12.05,27.24,15.19,"Energy",20.24,12.5,23.47,8.54,13.52,56763,-24.09,90.58,131.15,491226408843,1650038732761,18.71,42.33,"Moderate","water",0.22,"Yes"
"20","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",14.87,72.92,58.05,"Tourism",69.32,14.04,76.45,32.27,66.26,166849,-24.02,91.57,76.69,205007772277,469679499661,38.91,48.49,"High","fuel",10.65,"Yes"
"21","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",12.87,47.44,34.57,"Construction",42.38,25.74,66.67,31.99,49.62,102926,-37.15,39.23,68.17,465740996941,1191874546209,30.26,53.28,"High","water",460.72,"Yes"
"22","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",5.05,6.25,1.2,"Manufacturing",1.43,23.5,24.24,15.98,21.81,683506,-40.97,36.45,68.1,449405857200,911813088805,10.37,22.91,"High","fuel, weapons",11.57,"No"
"23","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",8.77,22.15,13.37,"Tourism",15.94,11.33,21.6,8.72,13.16,2952432,-21.69,89.31,94.16,103030081935,203022912162,33.9,42.35,"Dominant","water",10.71,"No"
"24","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",11.89,52.94,41.05,"Tourism",55.66,27.3,76.37,40.24,48.83,67293,-40.05,54.36,69.94,491750465897,1955945856288,33.98,69.7,"Low","fuel",273.61,"No"
"25","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",5.48,11.94,6.46,"Services",8.49,10.01,13.99,8.67,7.91,68806,-39.9,145.61,234.66,405632862452,836544810965,29.66,80.4,"Dominant","medicine, fuel",460.35,"Yes"
"26","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",7.01,29.86,22.85,"Services",34.09,22.69,44.93,25.27,39.11,147919,-10.56,122.02,236.03,166988471942,292369221759,17.36,23.92,"Moderate","food, water, medicine",9.24,"No"
"27","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",11.93,23.89,11.96,"Energy",16.44,27.61,35.66,16.13,22.63,37403,-25.61,114.48,185.07,234153855366,578128848925,15.57,23,"Low","medicine, currency",5.25,"No"
"28","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",11.55,29.11,17.56,"Construction",24.59,17.44,27.66,13.79,22.97,168699,-41,64.71,129.41,154993516470,399299651158,29.53,84.19,"Moderate","currency, food, water",37.43,"Yes"
"29","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",6.94,10.77,3.83,"Energy",5,5.39,9.36,3.07,8.29,22943,-15.89,106.2,149.56,54724317079,183591696433,21.94,54.59,"Dominant","food, water",339.67,"Yes"
"30","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",12.82,20.08,7.26,"Manufacturing",9.68,14.72,19.23,13.04,10.24,619207,-42.4,17.63,25.57,382457697268,1191464160735,26.78,51.93,"Dominant","weapons",473.85,"Yes"
"31","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",14.56,18.2,3.64,"Services",5.35,8.44,12.52,5.33,10.33,71782,-25.72,103.6,152.76,183524517499,506692143849,36.28,61.31,"Dominant","currency",251.14,"No"
"32","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",11.19,29.03,17.84,"Energy",24.04,25.77,46.85,29.72,24.88,12751,-37.57,102.8,81.04,107998471296,236591071417,31.82,52.99,"High","medicine",4.68,"No"
